Date,implied_volatility,last_traded_price,open_interest,high,low,ask_price,bid_price,RSI,IV_ZScore,OI_Change,PnL,close,target
2023-01-01,15.2,100.5,100000.0,101.0,99.0,100.6,100.4,45.0,0.5,100.0,10.0,100.5,1
2023-01-02,16.1,101.2,105000.0,102.0,100.0,101.3,101.1,25.0,1.2,200.0,-5.0,101.2,1
2023-01-03,14.8,102.1,103000.0,103.0,101.0,102.2,102.0,65.0,0.1,50.0,15.0,102.1,1
2023-01-04,17.5,103.0,110000.0,104.0,102.0,103.1,102.9,35.0,2.1,600.0,20.0,103.0,0
2023-01-05,15.5,102.5,108000.0,103.5,101.5,102.6,102.4,70.0,0.8,150.0,-10.0,102.5,1
2023-01-06,16.8,103.8,112000.0,104.5,102.5,103.9,103.7,28.0,1.5,400.0,5.0,103.8,1
2023-01-07,15.0,104.3,111000.0,105.0,103.0,104.4,104.2,55.0,0.3,250.0,12.0,104.3,1
2023-01-08,18.0,105.0,115000.0,106.0,104.0,105.1,104.9,32.0,2.5,700.0,25.0,105.0,0
2023-01-09,15.3,104.5,113000.0,105.5,103.5,104.6,104.4,68.0,0.6,300.0,-8.0,104.5,0
2023-01-01,15.188112974586145,100.49411101672582,100007.04563049442,100.98054087924184,99.00431252386717,100.61434739641295,100.40422313931815,45.14010116425432,0.5057393962865129,100.85174748378645,10.00579858859369,100.5194998713509,1
2023-01-02,16.108901977154947,101.20761539486492,104933.6502516489,102.02704574408793,100.00948701301365,101.31690948009316,101.10785199419755,25.07270902400564,1.1952875035979902,199.85089776070097,-4.984073417621939,101.21774420923883,1
2023-01-03,14.780843007917763,102.11680355595031,102964.73294769748,102.98426520304973,100.9904878760472,102.18924238918365,101.97494966403706,65.07858918887308,0.093346873083837,49.46918734769975,14.906394496044983,102.08073369743451,1
2023-01-04,17.49533085536644,102.98727040478077,109958.71008043982,103.98135102719012,101.99777340758008,103.12288380484561,102.87432279201938,35.12339694680784,2.098605889115788,597.2834115799726,20.147911348982678,103.00642429898595,0
2023-01-05,15.466768004794137,102.50753265284378,108042.80675377323,103.51093058502939,101.52854224503686,102.60014168320374,102.40571343544396,69.95363452548327,0.7845024822328412,149.9982777718318,-10.234087286918616,102.49196993549063,1
2023-01-06,16.803850806615817,103.81075352298076,111949.0537286121,104.50010377718259,102.49978443471954,103.89616933893382,103.69410625061406,28.070295701109686,1.4976982887402297,399.15773480046926,5.242624110559354,103.8000320946792,1
2023-01-07,14.994861777182006,104.26845375387433,111022.95389440923,105.01740057939293,102.97584359511437,104.39843302439446,104.23819819220927,55.18278347428175,0.29237107566728504,251.85625373959135,12.146666833243266,104.30082523998526,1
2023-01-08,17.988640345244207,104.97936244559104,115049.91706842268,105.98484767824162,103.9843061981812,105.10453089694101,104.89115317844292,31.946210367527588,2.4841391631751946,704.4701141085955,24.738651670439697,104.99353627623354,0
2023-01-09,15.313638780481051,104.48451170199077,112957.61145730109,105.46243617897177,103.51675582228721,104.60523222624003,104.37472777588101,67.96956105754408,0.6001414837526132,304.2220885872202,-8.049792151322121,104.51002412787878,0
2023-01-01,15.209160084225145,100.53296783917703,99967.99766033105,101.02532888657997,98.98415555715249,100.60726270952367,100.39724524022417,44.675635536210955,0.5038940106648032,100.10729963144236,9.883302359949118,100.48131825318315,1
